County,PopulationArea,Year,Population
King County,Cities,2000,1387812
King County,Unincorp.,2000,349234
King County,Total,2000,1737046
King County,PTBA,2000,1737046
King County,Sound Transit,2000,1466331
Kitsap County,Cities,2000,72073
Kitsap County,Unincorp.,2000,159896
Kitsap County,Total,2000,231969
Kitsap County,PTBA,2000,217627
Pierce County,Cities,2000,385459
Pierce County,Unincorp.,2000,315359
Pierce County,Total,2000,700818
Pierce County,PTBA,2000,606175
Pierce County,Sound Transit,2000,553629
Snohomish County,Cities,2000,314882
Snohomish County,Unincorp.,2000,291142
Snohomish County,Total,2000,606024
Snohomish County,PTBA,2000,405635
Snohomish County,Sound Transit,2000,345315
Snohomish County,City Transit,2000,82806
King County,Cities,2001,1404829
King County,Unincorp.,2001,350658
King County,Total,2001,1755487
King County,PTBA,2001,1755487
King County,Sound Transit,2001,1487534
Kitsap County,Cities,2001,73267
Kitsap County,Unincorp.,2001,160651
Kitsap County,Total,2001,233918
Kitsap County,PTBA,2001,219576
Pierce County,Cities,2001,388498
Pierce County,Unincorp.,2001,320790
Pierce County,Total,2001,709288
Pierce County,PTBA,2001,617046
Pierce County,Sound Transit,2001,563392
Snohomish County,Cities,2001,325027
Snohomish County,Unincorp.,2001,292837
Snohomish County,Total,2001,617864
Snohomish County,PTBA,2001,414401
Snohomish County,Sound Transit,2001,352074
Snohomish County,City Transit,2001,83983
King County,Cities,2002,1427263
King County,Unincorp.,2002,350251
King County,Total,2002,1777514
King County,PTBA,2002,1777514
King County,Sound Transit,2002,1509043
Kitsap County,Cities,2002,74050
Kitsap County,Unincorp.,2002,162606
Kitsap County,Total,2002,236656
Kitsap County,PTBA,2002,221542
Pierce County,Cities,2002,394188
Pierce County,Unincorp.,2002,326936
Pierce County,Total,2002,721124
Pierce County,PTBA,2002,628113
Pierce County,Sound Transit,2002,573328
Snohomish County,Cities,2002,329032
Snohomish County,Unincorp.,2002,300255
Snohomish County,Total,2002,629287
Snohomish County,PTBA,2002,423357
Snohomish County,Sound Transit,2002,358964
Snohomish County,City Transit,2002,85176
King County,Cities,2003,1436622
King County,Unincorp.,2003,351460
King County,Total,2003,1788082
King County,PTBA,2003,1788082
King County,Sound Transit,2003,1530863
Kitsap County,Cities,2003,75332
Kitsap County,Unincorp.,2003,164111
Kitsap County,Total,2003,239443
Kitsap County,PTBA,2003,223526
Pierce County,Cities,2003,398332
Pierce County,Unincorp.,2003,333637
Pierce County,Total,2003,731969
Pierce County,PTBA,2003,639377
Pierce County,Sound Transit,2003,583438
Snohomish County,Cities,2003,333163
Snohomish County,Unincorp.,2003,306779
Snohomish County,Total,2003,639942
Snohomish County,PTBA,2003,432505
Snohomish County,Sound Transit,2003,365990
Snohomish County,City Transit,2003,86387
King County,Cities,2004,1443623
King County,Unincorp.,2004,357160
King County,Total,2004,1800783
King County,PTBA,2004,1800783
King County,Sound Transit,2004,1552998
Kitsap County,Cities,2004,75136
Kitsap County,Unincorp.,2004,165641
Kitsap County,Total,2004,240777
Kitsap County,PTBA,2004,225528
Pierce County,Cities,2004,401658
Pierce County,Unincorp.,2004,342043
Pierce County,Total,2004,743701
Pierce County,PTBA,2004,650844
Pierce County,Sound Transit,2004,593727
Snohomish County,Cities,2004,335309
Snohomish County,Unincorp.,2004,313469
Snohomish County,Total,2004,648778
Snohomish County,PTBA,2004,441852
Snohomish County,Sound Transit,2004,373153
Snohomish County,City Transit,2004,87615
King County,Cities,2005,1455474
King County,Unincorp.,2005,359525
King County,Total,2005,1814999
King County,PTBA,2005,1814999
King County,Sound Transit,2005,1575454
Kitsap County,Cities,2005,72670
Kitsap County,Unincorp.,2005,167149
Kitsap County,Total,2005,239819
Kitsap County,PTBA,2005,227548
Pierce County,Cities,2005,406460
Pierce County,Unincorp.,2005,350459
Pierce County,Total,2005,756919
Pierce County,PTBA,2005,662517
Pierce County,Sound Transit,2005,604197
Snohomish County,Cities,2005,340862
Snohomish County,Unincorp.,2005,320484
Snohomish County,Total,2005,661346
Snohomish County,PTBA,2005,451400
Snohomish County,Sound Transit,2005,380456
Snohomish County,City Transit,2005,88860
King County,Cities,2006,1481836
King County,Unincorp.,2006,363373
King County,Total,2006,1845209
King County,PTBA,2006,1845209
King County,Sound Transit,2006,1598234
Kitsap County,Cities,2006,74657
Kitsap County,Unincorp.,2006,169392
Kitsap County,Total,2006,244049
Kitsap County,PTBA,2006,229586
Pierce County,Cities,2006,414678
Pierce County,Unincorp.,2006,359372
Pierce County,Total,2006,774050
Pierce County,PTBA,2006,674398
Pierce County,Sound Transit,2006,614852
Snohomish County,Cities,2006,355994
Snohomish County,Unincorp.,2006,320132
Snohomish County,Total,2006,676126
Snohomish County,PTBA,2006,461155
Snohomish County,Sound Transit,2006,387902
Snohomish County,City Transit,2006,90123
King County,Cities,2007,1508783
King County,Unincorp.,2007,362315
King County,Total,2007,1871098
King County,PTBA,2007,1871098
King County,Sound Transit,2007,1621344
Kitsap County,Cities,2007,76131
Kitsap County,Unincorp.,2007,171345
Kitsap County,Total,2007,247476
Kitsap County,PTBA,2007,231642
Pierce County,Cities,2007,420426
Pierce County,Unincorp.,2007,366485
Pierce County,Total,2007,786911
Pierce County,PTBA,2007,686493
Pierce County,Sound Transit,2007,625695
Snohomish County,Cities,2007,368259
Snohomish County,Unincorp.,2007,321055
Snohomish County,Total,2007,689314
Snohomish County,PTBA,2007,471121
Snohomish County,Sound Transit,2007,395494
Snohomish County,City Transit,2007,91403
King County,Cities,2008,1559103
King County,Unincorp.,2008,332022
King County,Total,2008,1891125
King County,PTBA,2008,1891125
King County,Sound Transit,2008,1644787
Kitsap County,Cities,2008,77865
Kitsap County,Unincorp.,2008,172040
Kitsap County,Total,2008,249905
Kitsap County,PTBA,2008,233716
Pierce County,Cities,2008,423078
Pierce County,Unincorp.,2008,371252
Pierce County,Total,2008,794330
Pierce County,PTBA,2008,698805
Pierce County,Sound Transit,2008,636729
Snohomish County,Cities,2008,372948
Snohomish County,Unincorp.,2008,326382
Snohomish County,Total,2008,699330
Snohomish County,PTBA,2008,481302
Snohomish County,Sound Transit,2008,403234
Snohomish County,City Transit,2008,92702
King County,Cities,2009,1580145
King County,Unincorp.,2009,329060
King County,Total,2009,1909205
King County,PTBA,2009,1909205
King County,Sound Transit,2009,1668570
Kitsap County,Cities,2009,78836
Kitsap County,Unincorp.,2009,172413
Kitsap County,Total,2009,251249
Kitsap County,PTBA,2009,235809
Pierce County,Cities,2009,426175
Pierce County,Unincorp.,2009,370725
Pierce County,Total,2009,796900
Pierce County,PTBA,2009,711338
Pierce County,Sound Transit,2009,647958
Snohomish County,Cities,2009,376418
Snohomish County,Unincorp.,2009,329476
Snohomish County,Total,2009,705894
Snohomish County,PTBA,2009,491703
Snohomish County,Sound Transit,2009,411126
Snohomish County,City Transit,2009,94020
