Year,Revenue Type,Transit Agency,Value,Dollar Type
1989,Fares,Community Transit,3265999.9982823757,Nominal
1990,Fares,Community Transit,3535000.000258805,Nominal
1991,Fares,Community Transit,4330999.997676858,Nominal
1992,Fares,Community Transit,4816999.997869696,Nominal
1993,Fares,Community Transit,5207000.002091256,Nominal
1994,Fares,Community Transit,5289999.9988974035,Nominal
1995,Fares,Community Transit,5699281.998192936,Nominal
1996,Fares,Community Transit,6036199.997803858,Nominal
1997,Fares,Community Transit,7249276.99824586,Nominal
1998,Fares,Community Transit,8175528.998745234,Nominal
1999,Fares,Community Transit,9404980.003345499,Nominal
2000,Fares,Community Transit,11250999.99741216,Nominal
2001,Fares,Community Transit,10849999.999412304,Nominal
2002,Fares,Community Transit,11360000.001170184,Nominal
2003,Fares,Community Transit,10869999.999548705,Nominal
2004,Fares,Community Transit,13519999.998925503,Nominal
2005,Fares,Community Transit,14880000.00451611,Nominal
2006,Fares,Community Transit,16155999.998143824,Nominal
2007,Fares,Community Transit,18822999.99861778,Nominal
2008,Fares,Community Transit,17640000.00251767,Nominal
2009,Fares,Community Transit,17817999.997348096,Nominal
2010,Fares,Community Transit,19265999.999626018,Nominal
2011,Fares,Community Transit,18810000.0044769,Nominal
2012,Fares,Community Transit,17629999.99610766,Nominal
2013,Fares,Community Transit,19330000.002665956,Nominal
2014,Fares,Community Transit,19770000.00448858,Nominal
2015,Fares,Community Transit,20799000.00047975,Nominal
2016,Fares,Community Transit,21892999.99512765,Nominal
2017,Fares,Community Transit,21843999.99999609,Nominal
2018,Fares,Community Transit,22399000.002965655,Nominal
2019,Fares,Community Transit,22851669.86877379,Nominal
2020,Fares,Community Transit,23313448.577026002,Nominal
2021,Fares,Community Transit,27193772.886497017,Nominal
2022,Fares,Community Transit,27646524.570440024,Nominal
2023,Fares,Community Transit,28106819.086532228,Nominal
2024,Fares,Community Transit,32784917.14953506,Nominal
2025,Fares,Community Transit,33330755.490663875,Nominal
2026,Fares,Community Transit,33831602.57215619,Nominal
2027,Fares,Community Transit,39399503.30457018,Nominal
2028,Fares,Community Transit,39991489.97543507,Nominal
2029,Fares,Community Transit,40592389.04540663,Nominal
2030,Fares,Community Transit,47272877.988581374,Nominal
2031,Fares,Community Transit,47866301.5946143,Nominal
2032,Fares,Community Transit,48467068.36311345,Nominal
2033,Fares,Community Transit,56306083.06773579,Nominal
2034,Fares,Community Transit,57012845.08969364,Nominal
2035,Fares,Community Transit,57728425.889109075,Nominal
2036,Fares,Community Transit,66992004.462155186,Nominal
2037,Fares,Community Transit,67758631.95404497,Nominal
2038,Fares,Community Transit,68534022.45167518,Nominal
2039,Fares,Community Transit,79531515.73280947,Nominal
2040,Fares,Community Transit,80441569.13822307,Nominal
2041,Fares,Community Transit,81318350.65945241,Nominal
2042,Fares,Community Transit,94316576.6035797,Nominal
2043,Fares,Community Transit,95344541.11744735,Nominal
2044,Fares,Community Transit,96383803.25149284,Nominal
2045,Fares,Community Transit,111789913.8459395,Nominal
2046,Fares,Community Transit,112908072.22795297,Nominal
2047,Fares,Community Transit,114037419.01598543,Nominal
2048,Fares,Community Transit,132147929.09021421,Nominal
2049,Fares,Community Transit,133469657.29120041,Nominal
2050,Fares,Community Transit,134804535.45889074,Nominal
1989,Fares,Everett Transit,278000.000201168,Nominal
1990,Fares,Everett Transit,303999.999711666,Nominal
1991,Fares,Everett Transit,335999.999733168,Nominal
1992,Fares,Everett Transit,356999.99944039196,Nominal
1993,Fares,Everett Transit,438000.00017482496,Nominal
1994,Fares,Everett Transit,401000.00058742,Nominal
1995,Fares,Everett Transit,549979.0007779261,Nominal
1996,Fares,Everett Transit,611900.000049042,Nominal
1997,Fares,Everett Transit,706327.000731772,Nominal
1998,Fares,Everett Transit,749761.00023459,Nominal
1999,Fares,Everett Transit,705711.999947346,Nominal
2000,Fares,Everett Transit,791000.000165325,Nominal
2001,Fares,Everett Transit,809999.999727954,Nominal
2002,Fares,Everett Transit,810000.00037284,Nominal
2003,Fares,Everett Transit,1019999.99942939,Nominal
2004,Fares,Everett Transit,1089999.99990779,Nominal
2005,Fares,Everett Transit,1069999.9997034601,Nominal
2006,Fares,Everett Transit,1076000.00001706,Nominal
2007,Fares,Everett Transit,1095000.00020532,Nominal
2008,Fares,Everett Transit,1131999.9998024001,Nominal
2009,Fares,Everett Transit,1122999.999618954,Nominal
2010,Fares,Everett Transit,1311000.00048108,Nominal
2011,Fares,Everett Transit,1289999.999874498,Nominal
2012,Fares,Everett Transit,1319999.999381889,Nominal
2013,Fares,Everett Transit,1610000.0001207,Nominal
2014,Fares,Everett Transit,1559999.253412405,Nominal
2015,Fares,Everett Transit,1514999.9993203322,Nominal
2016,Fares,Everett Transit,1391999.327453487,Nominal
