County,Tax Base Category,Year,Value
4-County regional Totals,Personal Income (nominal),1975,13338578310.0
4-County regional Totals,Population,1975,1963090.0
4-County regional Totals,Employment,1975,719238.335
4-County regional Totals,Retail Sales (nominal),1975,7428915395.0
4-County regional Totals,Motor Fuel (gal.),1975,941502657.0
4-County regional Totals,Cars and Gas Trucks,1975,1218553.0
4-County regional Totals,Diesel,1975,6.1667429
4-County regional Totals,Total Registrations (000s),1975,1224719.743
King County,Population,1975,1155135.948
King County,Employment,1975,502172.9274
King County,Cars and Gas Trucks,1975,725670.0
Kitsap County,Population,1975,111172.5924
Kitsap County,Employment,1975,33908.28146
Kitsap County,Cars and Gas Trucks,1975,68992.0
Pierce County,Population,1975,418369.1604
Pierce County,Employment,1975,115990.6679
Pierce County,Cars and Gas Trucks,1975,252446.0
Snohomish County,Population,1975,269072.5976
Snohomish County,Employment,1975,67166.45825000001
Snohomish County,Cars and Gas Trucks,1975,171445.0
4-County regional Totals,Personal Income (nominal),1976,14979734990.0
4-County regional Totals,Population,1976,1983800.0
4-County regional Totals,Employment,1976,744671.6684000001
4-County regional Totals,Retail Sales (nominal),1976,7846450826.0
4-County regional Totals,Motor Fuel (gal.),1976,985069793.7
4-County regional Totals,Cars and Gas Trucks,1976,1240951.105
4-County regional Totals,Diesel,1976,6.3737371
4-County regional Totals,Total Registrations (000s),1976,1247324.842
King County,Population,1976,1156884.033
King County,Employment,1976,516019.59380000003
King County,Retail Sales (nominal),1976,5091643343.0
King County,Cars and Gas Trucks,1976,740115.6037
Kitsap County,Population,1976,119316.5255
Kitsap County,Employment,1976,36224.421720000006
Kitsap County,Retail Sales (nominal),1976,502243989.5
Kitsap County,Cars and Gas Trucks,1976,72032.40157
Pierce County,Population,1976,427147.80100000004
Pierce County,Employment,1976,121326.1357
Pierce County,Retail Sales (nominal),1976,1419636770.0
Pierce County,Cars and Gas Trucks,1976,253089.3221
Snohomish County,Population,1976,272955.54120000004
Snohomish County,Employment,1976,71101.5171
Snohomish County,Retail Sales (nominal),1976,832926723.5
Snohomish County,Cars and Gas Trucks,1976,175713.77730000002
4-County regional Totals,Personal Income (nominal),1977,16541594350.0
4-County regional Totals,Population,1977,2014900.0
4-County regional Totals,Employment,1977,794714.1733
4-County regional Totals,Retail Sales (nominal),1977,8860919818.0
4-County regional Totals,Motor Fuel (gal.),1977,1102465542.0
4-County regional Totals,Cars and Gas Trucks,1977,1386158.342
4-County regional Totals,Diesel,1977,6.78146153
4-County regional Totals,Total Registrations (000s),1977,1392939.804
King County,Population,1977,1162979.355
King County,Employment,1977,553426.5098
King County,Retail Sales (nominal),1977,5788244971.0
King County,Cars and Gas Trucks,1977,824120.001
Kitsap County,Population,1977,125346.6496
Kitsap County,Employment,1977,40108.60959
Kitsap County,Retail Sales (nominal),1977,509965328.7
Kitsap County,Cars and Gas Trucks,1977,81542.71694
Pierce County,Population,1977,434058.9738
Pierce County,Employment,1977,125628.11750000001
Pierce County,Retail Sales (nominal),1977,1567889689.0
Pierce County,Cars and Gas Trucks,1977,287711.9917
Snohomish County,Population,1977,279098.16599999997
Snohomish County,Employment,1977,75550.93647
Snohomish County,Retail Sales (nominal),1977,994819829.5
Snohomish County,Cars and Gas Trucks,1977,192783.6327
4-County regional Totals,Personal Income (nominal),1978,18938918350.0
4-County regional Totals,Population,1978,2075400.0
4-County regional Totals,Employment,1978,874904.9969
4-County regional Totals,Retail Sales (nominal),1978,10599169690.0
4-County regional Totals,Motor Fuel (gal.),1978,1166607518.0
4-County regional Totals,Cars and Gas Trucks,1978,1476415.4479999999
4-County regional Totals,Diesel,1978,8.9209141
4-County regional Totals,Total Registrations (000s),1978,1485336.362
King County,Population,1978,1182844.374
King County,Employment,1978,609930.06
King County,Retail Sales (nominal),1978,6997276772.0
King County,Cars and Gas Trucks,1978,885822.8206
Kitsap County,Population,1978,130740.81899999999
Kitsap County,Employment,1978,42410.29684
Kitsap County,Retail Sales (nominal),1978,513731987.4
Kitsap County,Cars and Gas Trucks,1978,86215.77531
Pierce County,Population,1978,446876.669
Pierce County,Employment,1978,135551.1588
Pierce County,Retail Sales (nominal),1978,1841304474.0
Pierce County,Cars and Gas Trucks,1978,293205.8214
Snohomish County,Population,1978,290380.0053
Snohomish County,Employment,1978,87013.48121
Snohomish County,Retail Sales (nominal),1978,1246856459.0
Snohomish County,Cars and Gas Trucks,1978,211171.0305
4-County regional Totals,Personal Income (nominal),1979,22156309490.0
4-County regional Totals,Population,1979,2153900.0
4-County regional Totals,Employment,1979,945075.0035999999
4-County regional Totals,Retail Sales (nominal),1979,12443171790.0
4-County regional Totals,Motor Fuel (gal.),1979,1175508793.0
4-County regional Totals,Cars and Gas Trucks,1979,1547187.851
4-County regional Totals,Diesel,1979,10.36244073
4-County regional Totals,Total Registrations (000s),1979,1557550.292
King County,Population,1979,1214604.204
King County,Employment,1979,658408.8014
King County,Retail Sales (nominal),1979,8294997939.999999
King County,Cars and Gas Trucks,1979,920463.0931
Kitsap County,Population,1979,134922.18
Kitsap County,Employment,1979,44909.60041000001
Kitsap County,Retail Sales (nominal),1979,529414597.6999999
Kitsap County,Cars and Gas Trucks,1979,91400.3228
Pierce County,Population,1979,464733.1631
Pierce County,Employment,1979,139876.329
Pierce County,Retail Sales (nominal),1979,2098592416.0
Pierce County,Cars and Gas Trucks,1979,299927.4567
Snohomish County,Population,1979,309718.3378
Snohomish County,Employment,1979,101880.2729
Snohomish County,Retail Sales (nominal),1979,1520166836.0
Snohomish County,Cars and Gas Trucks,1979,235396.9784
4-County regional Totals,Personal Income (nominal),1980,25445380940.0
4-County regional Totals,Population,1980,2240437.0
4-County regional Totals,Employment,1980,970406.6658000001
4-County regional Totals,Retail Sales (nominal),1980,13234833140.0
4-County regional Totals,Motor Fuel (gal.),1980,1130079476.0
4-County regional Totals,Cars and Gas Trucks,1980,1623821.101
4-County regional Totals,Diesel,1980,11.53863323
4-County regional Totals,Total Registrations (000s),1980,1635359.734
King County,Population,1980,1255237.1
King County,Employment,1980,679798.7625
King County,Retail Sales (nominal),1980,8948756469.0
King County,Cars and Gas Trucks,1980,974259.0602000001
Kitsap County,Population,1980,142831.3609
Kitsap County,Employment,1980,46195.589400000004
Kitsap County,Retail Sales (nominal),1980,533212108.5
Kitsap County,Cars and Gas Trucks,1980,97496.96131
Pierce County,Population,1980,478873.0792
Pierce County,Employment,1980,141659.38199999998
Pierce County,Retail Sales (nominal),1980,2113663363.0
Pierce County,Cars and Gas Trucks,1980,312969.436
Snohomish County,Population,1980,330476.6177
Snohomish County,Employment,1980,102752.932
